example_id                                               | status | run_time        |
-------------------------------------------------------- | ------ | --------------- |
./spec/controllers/companies_controller_spec.rb[1:1:1]   | passed | 0.00803 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:2:1] | passed | 0.03725 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:2:2] | passed | 0.03704 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:2:3] | passed | 0.02776 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:2:4] | passed | 0.00496 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:3:1] | passed | 0.06562 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:4:1] | passed | 0.14286 seconds |
./spec/controllers/companies_controller_spec.rb[1:2:1]   | passed | 0.01052 seconds |
./spec/controllers/companies_controller_spec.rb[1:2:2]   | passed | 0.01186 seconds |
./spec/controllers/companies_controller_spec.rb[1:3:1]   | passed | 0.00555 seconds |
./spec/controllers/companies_controller_spec.rb[1:3:2]   | passed | 0.00475 seconds |
./spec/controllers/companies_controller_spec.rb[1:4:1]   | passed | 0.00889 seconds |
./spec/controllers/companies_controller_spec.rb[1:4:2]   | passed | 0.01075 seconds |
./spec/controllers/companies_controller_spec.rb[1:5:1]   | passed | 0.01018 seconds |
./spec/models/company_spec.rb[1:1:1]                     | passed | 0.00211 seconds |
./spec/models/company_spec.rb[1:1:2]                     | passed | 0.34924 seconds |
./spec/models/company_spec.rb[1:1:3]                     | passed | 0.00202 seconds |
./spec/models/company_spec.rb[1:1:4]                     | passed | 0.00592 seconds |
./spec/models/company_spec.rb[1:1:5]                     | passed | 0.01935 seconds |
